Article Name,Article Link,Article Poster,Article Date
Standard Proposal Template – Optimism Token House,https://gov.optimism.io/t/standard-proposal-template-optimism-token-house/5443,N/A,"June 16, 2023"
About the Technical  Proposals 📃 category,https://gov.optimism.io/t/about-the-technical-proposals-category/4698,N/A,"January 25, 2023"
[FINAL] Proposal to Reclassify Grant Misusage Enforcement,https://gov.optimism.io/t/final-proposal-to-reclassify-grant-misusage-enforcement/7384,N/A,"December 12, 2024"
Upgrade Proposal #11: Holocene Network Upgrade,https://gov.optimism.io/t/upgrade-proposal-11-holocene-network-upgrade/9313,N/A,"December 11, 2024"
Governor Update Proposal #3: Enable onchain treasury execution,https://gov.optimism.io/t/governor-update-proposal-3-enable-onchain-treasury-execution/9072,N/A,"November 27, 2024"
Season 6: Standard Rollup Charter Ratification,https://gov.optimism.io/t/season-6-standard-rollup-charter-ratification/8135,N/A,"November 8, 2024"
Insights into Optimism’s Chain Composition,https://gov.optimism.io/t/insights-into-optimism-s-chain-composition/9215,N/A,"November 1, 2024"
Solution to improve DAO governance process,https://gov.optimism.io/t/solution-to-improve-dao-governance-process/7272,N/A,"October 24, 2024"
Updates to the Standard Rollup Charter,https://gov.optimism.io/t/updates-to-the-standard-rollup-charter/9067,N/A,"October 17, 2024"
Upgrade Proposal #10: Granite Network Upgrade,https://gov.optimism.io/t/upgrade-proposal-10-granite-network-upgrade/8733,N/A,"August 31, 2024"
Quality standard for OP Stack chains,https://gov.optimism.io/t/quality-standard-for-op-stack-chains/8647,N/A,"August 2, 2024"
Enable Custom Gas Token on OP Stack,https://gov.optimism.io/t/enable-custom-gas-token-on-op-stack/7834,N/A,"July 31, 2024"
Zk fault proof for OP Stack,https://gov.optimism.io/t/zk-fault-proof-for-op-stack/8648,N/A,"July 31, 2024"
Idea for the future,https://gov.optimism.io/t/idea-for-the-future/8620,N/A,"July 24, 2024"
Upgrade Proposal #9: Fjord Network Upgrade,https://gov.optimism.io/t/upgrade-proposal-9-fjord-network-upgrade/8236,N/A,"June 30, 2024"
[FINAL] Governor Update Proposal #2: Improvements to advanced delegation allowance calculations,https://gov.optimism.io/t/final-governor-update-proposal-2-improvements-to-advanced-delegation-allowance-calculations/8164,N/A,"June 5, 2024"
[FINAL] Protocol Upgrade #7: Fault Proofs,https://gov.optimism.io/t/final-protocol-upgrade-7-fault-proofs/8161,N/A,"June 5, 2024"
"[FINAL] Protocol Upgrade #8: Guardian, Security Council Threshold and L2 ProxyAdmin Ownership changes for Stage 1 Decentralization",https://gov.optimism.io/t/final-protocol-upgrade-8-guardian-security-council-threshold-and-l2-proxyadmin-ownership-changes-for-stage-1-decentralization/8157,N/A,"May 29, 2024"
Season 6: Introducing Blockspace Charters: Superchain-first Governance,https://gov.optimism.io/t/season-6-introducing-blockspace-charters-superchain-first-governance/8133,N/A,"May 21, 2024"
Governor Update Proposal #1: Improve advanced delegation voting,https://gov.optimism.io/t/governor-update-proposal-1-improve-advanced-delegation-voting/7932,N/A,"April 26, 2024"
Upgrade Proposal #6: Multi-Chain Prep (MCP) L1,https://gov.optimism.io/t/upgrade-proposal-6-multi-chain-prep-mcp-l1/7677,N/A,"March 12, 2024"
Upgrade Proposal #5: Ecotone Network Upgrade,https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669,N/A,"March 12, 2024"
Upgrade Proposal #4,https://gov.optimism.io/t/upgrade-proposal-4/7534,N/A,"February 14, 2024"
Split delegation,https://gov.optimism.io/t/split-delegation/7324,N/A,"February 8, 2024"
[FINAL] Upgrade Proposal #3: Delta Network Upgrade,https://gov.optimism.io/t/final-upgrade-proposal-3-delta-network-upgrade/7310,N/A,"February 6, 2024"
[Temp Check] Burn surplus RetroPGF (+ monetary policy proposals),https://gov.optimism.io/t/temp-check-burn-surplus-retropgf-monetary-policy-proposals/7307,N/A,"January 29, 2024"
Optimism Expansion Defi,https://gov.optimism.io/t/optimism-expansion-defi/7497,N/A,"January 24, 2024"
Request: Feedback on which forum features matter most,https://gov.optimism.io/t/request-feedback-on-which-forum-features-matter-most/7287,N/A,"January 11, 2024"
Security Council: Vote #1 - Change to Security Model,https://gov.optimism.io/t/security-council-vote-1-change-to-security-model/6886,N/A,"December 19, 2023"
[FINAL] Upgrade Proposal #2: Canyon Network Upgrade,https://gov.optimism.io/t/final-upgrade-proposal-2-canyon-network-upgrade/7088,N/A,"December 6, 2023"
