Category Name,Category Link,Category Description
Get  Started 🌱,/c/get-started/67,Welcome to the Optimism Collective governance forum!
Governance  Fund Missions 🏹,/c/gov-fund-missions/69,How to get a grant from the Governance Fund and keep up with key info!
Delegates  🏛,/c/delegates/41,"Info and discussions on voting, delegation, and the Token House"
Retro  Funding Missions 🔴,/c/retrofunding/46,Retroactive Public Goods Funding rounds information can be found here.
Citizens  👥,/c/citizens/79,This category is for all things relating to Citizens!
Elected  Representatives 💼,/c/elected-reps/83,"This category is for any Elected Representative Structure (i.e., councils)."
Technical  Proposals 📃,/c/technical-proposals/47,"Discuss non-grant related structural, or technical, governance proposals."
Policies  and Templates 📌,/c/policies-and-important-documents/49,Find governance policies and proposal templates here
Collective  Strategy 🧭,/c/collective-strategy/81,This category is for Collective Strategy relating to intents and roadmaps.
Updates  and Announcements 📢,/c/updates-and-announcements/48,
Governance  Design 📐,/c/gov-design/84,This category is for the Collective’s metagovernance strategy!
Feedback  💬,/c/feedback/82,This category is for feedback threads on specific topics!
Accountability  🗂️,/c/accountability/62,This category is for posts that increase transparency and accountability.
✨ General,/c/general/1,
ARCHIVED  & OLD Missions,/c/archived-old-missions/63,This category has been deprecated and replaced by “Mission Requests”.
